,tweet_id,text,tokenized_text
22,1455128844164341764,"@GavinGiovannoni Gavin:  Decades of research on smoking, animal models and never-smokers who use snus (in Sweden) all show nicotine is neuroprotective.  It prevents #Parkinsons disease.  Up to 60% lower risk.

Also reduces symptoms for adults with #neurodiversity issues.
https://t.co/WbsXHtoout","<user> gavin : decades of research on smoking , animal models and never - smokers who use snus ( in sweden ) all show nicotine is neuroprotective . it prevents <hashtag> parkinsons </hashtag> disease . up to <percent> lower risk . also reduces symptoms for adults with <hashtag> neurodiversity </hashtag> issues . <url>"
23,1455128476642648066,"Most of the resistance for making adjustments comes from a lack of understanding and 
knowledge about #neurodiversity (WAC, 2017). To create this understanding, essential if the  #neurodivergent employee is to be supported appropriately. 
*Katherine Kindersley https://t.co/PcwrsUJ4ur","most of the resistance for making adjustments comes from a lack of understanding and knowledge about <hashtag> neurodiversity </hashtag> ( <allcaps> wac </allcaps> , <number> ) . to create this understanding , essential if the <hashtag> neuro divergent </hashtag> employee is to be supported appropriately . * katherine kindersley <url>"
24,1455128153584721923,"For Blog #106, I discuss how to handle flight cancellations after I experienced one yesterday.

https://t.co/voNKnAlt7Y

@AutismTree @ucfoundation @MyAutismConn @BarcellonaR @AmericanAir @united @Delta @SouthwestAir @AlaskaAir @JetBlue 

#AUTISM #NEURODIVERSITY #AIRTRAVEL","for blog # <number> , i discuss how to handle flight cancellations after i experienced one yesterday . <url> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <hashtag> autism </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> airtravel </hashtag>"
26,1455126300235010049,"@Psyyyyyyyych My two neurodiversity. 

The amount of shit I had to hear, especially the eugenic discourse.","<user> my two neurodiversity . the amount of shit i had to hear , especially the eugenic discourse ."
27,1455124479873622017,"""So what are the advantages neurodivergent people can bring to the workplace? Having a different perspective can help to challenge conventional ways of doing things. If someone’s brain works differently, they solve problems differently.""👏 #neurodiversity 
https://t.co/BOSoX2vSwM",""" so what are the advantages neurodivergent people can bring to the workplace ? having a different perspective can help to challenge conventional ways of doing things . if someone ’ s brain works differently , they solve problems differently . "" 👏 <hashtag> neurodiversity </hashtag> <url>"
28,1455124148456501249,It’s Neurodiversity Week! We have been having fun creating neurodiversity symbols using chalk in the playground. https://t.co/VgEW0gR3DP,it ’ s neurodiversity week ! we have been having fun creating neurodiversity symbols using chalk in the playground . <url>
33,1455118339576107011,"Viewpoint: Advocacy or orthodoxy? How the neurodiversity movement that has sought to normalize autism is changing, and not always for the best - Genetic Literacy Project https://t.co/Ln99W8a7z3","viewpoint : advocacy or orthodoxy ? how the neurodiversity movement that has sought to normalize autism is changing , and not always for the best - genetic literacy project <url>"
34,1455118060382265350,@cllrDove @SamsBournemouth @DrAndyMayers I would use the term Neurodiversity rather than mental disease personally.,<user> <user> <user> i would use the term neurodiversity rather than mental disease personally .
35,1455117843255726093,"Looking forward to seeing @JamieKnight, @AngelaPrentner, and @design_smp speak on neurodiversity at UX Glasgow meetup this coming Wednesday. 

Get your ticket here:
https://t.co/RsEkPARogQ","looking forward to seeing <user> , <user> , and <user> speak on neurodiversity at ux glasgow meetup this coming wednesday . get your ticket here : <url>"
36,1455117802663198732,"@Kattvnnen1 @AviusL @commaficionado ""Autist"" (noun) is what most autistics who are involved in the neurodiversity movement in Sweden call ourselves. ""Autistisk"" (adjective) is less common here. ""Person med autism"" is still the most common one among people who are less educated by autistics.","<user> <user> <user> "" autist "" ( noun ) is what most autistics who are involved in the neurodiversity movement in sweden call ourselves . "" autistisk "" ( adjective ) is less common here . "" person med autism "" is still the most common one among people who are less educated by autistics ."
40,1455116152720400390,"How do the arts and humanities help us avoid #mentalhealth #burnout? How is #neurodiversity represented in #globalculturalheritage? What is the role of the #digital world in these uses? 🤔

Shape a better experience through #MozFest 2022: https://t.co/7Vl1AZM6w8

@Cherissonne https://t.co/vyFOElwsXi",how do the arts and humanities help us avoid <hashtag> mental health </hashtag> <hashtag> burnout </hashtag> ? how is <hashtag> neurodiversity </hashtag> represented in <hashtag> global cultural heritage </hashtag> ? what is the role of the <hashtag> digital </hashtag> world in these uses ? 🤔 shape a better experience through <hashtag> moz fest </hashtag> <number> : <url> <user> <url>
42,1455115396256878594,"“Among the many stereotypes placed on neurodivergent individuals is a misconception of an inherent ability to succeed in school or an ineptness in navigating through social interactions.”

#neurodiversity #intheirownwords #autism #highereducation

https://t.co/d7Tk0fh8KO",“ among the many stereotypes placed on neurodivergent individuals is a misconception of an inherent ability to succeed in school or an ineptness in navigating through social interactions . ” <hashtag> neurodiversity </hashtag> <hashtag> in their own words </hashtag> <hashtag> autism </hashtag> <hashtag> higher education </hashtag> <url>
47,1455112740243222533,"Neurodiversity in technology: Are businesses missing out on key talent?
https://t.co/OiHkt9Baie via @TechCrunch #diversity #neurodiversity #inclusion",neurodiversity in technology : are businesses missing out on key talent ? <url> via <user> <hashtag> diversity </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> inclusion </hashtag>
49,1455110740969463810,"🧠An introduction to neurodivergence and the cultural sector

Training will cover The Neurodiversity Movement, legislation, terminology &amp; confidence in developing neurodivergent programming and workforce.

Delivered by @NeuroMuseum.

Book your place - https://t.co/HlOoU8oaei","🧠 an introduction to neurodivergence and the cultural sector training will cover the neurodiversity movement , legislation , terminology & confidence in developing neurodivergent programming and workforce . delivered by <user> . book your place - <url>"
50,1455109871184105472,Neurodiversity in technology: Are businesses missing out on key talent? – TechCrunch https://t.co/CpTj198Wjk,neurodiversity in technology : are businesses missing out on key talent ? – techcrunch <url>
51,1455109405679177730,"Dyslexia Awareness Week.
Most people think dyslexia means you struggle with spelling but it can affect so much more including low self-esteem and anxiety.Strengths include a different way of thinking,problem solving and creativity.#dyslexiaawareness #neurodiversity #SpreadTheWord https://t.co/zydnUYxVOH","dyslexia awareness week . most people think dyslexia means you struggle with spelling but it can affect so much more including low self - esteem and anxiety . strengths include a different way of thinking , problem solving and creativity . <hashtag> dyslexia awareness </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> spread the word </hashtag> <url>"
52,1455108998248767491,"@IvorsAcademy members please vote for me before the 5th November if you have a similar vision for the youth and neurodiverse communities. Thank you. Marlon James Edwards

 #ivors #member #neurodivergent #neuroscience #neurodiversity #youth #millennials
https://t.co/9T05V0nDLI",<user> members please vote for me before the 5 th november if you have a similar vision for the youth and neurodiverse communities . thank you . marlon james edwards <hashtag> ivor s </hashtag> <hashtag> member </hashtag> <hashtag> neuro divergent </hashtag> <hashtag> neuroscience </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> youth </hashtag> <hashtag> millennials </hashtag> <url>
53,1455108930317824002,@GildeaTracie impressed about your TechCrunch article about neurodiversity. I'm building an app for mental health focused at DEI. How do I contact you about a cause of neurodiversity?,<user> impressed about your techcrunch article about neurodiversity . i am building an app for mental health focused at <allcaps> dei </allcaps> . how do i contact you about a cause of neurodiversity ?
54,1455104886564024322,"Design that is inclusive towards neurodiversity, will lead the pack in the business world. Explore out latest @LinkedIn series to learn more.

https://t.co/ONSGNloA7G","design that is inclusive towards neurodiversity , will lead the pack in the business world . explore out latest <user> series to learn more . <url>"
60,1455099745811243011,"@cllrDove @SamsBournemouth @DrAndyMayers Hey Bobbie, could they fall under the term neurodiversity or do you need to be more specific? If so then mental health conditions rather than diseases","<user> <user> <user> hey bobbie , could they fall under the term neurodiversity or do you need to be more specific ? if so then mental health conditions rather than diseases"
62,1455099376032956421,"Tonight is our Neurodiversity / Mental Health / Disability night, 18:30 - 21:00 #theswitchboard #ASD #ASC #Neurodiversity #MentalHealthMatters #EndTheStigma #Disability #support https://t.co/5H8xnNR3aB","tonight is our neurodiversity / mental health / disability night , <time> - <time> <hashtag> the switchboard </hashtag> <hashtag> asd </hashtag> <hashtag> asc </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> mental health matters </hashtag> <hashtag> end the stigma </hashtag> <hashtag> disability </hashtag> <hashtag> support </hashtag> <url>"
63,1455098965075140617,"Volunteering websites | but which one?

How to find Volunteers?!

As a charity, we rely on creating the ability to give. The work we do on social media, the web and in print https://t.co/lC56kls3oz #supportedliving #learningdisabilities #inclusion #neurodiversity #autismlove","volunteering websites | but which one ? how to find volunteers ? ! <repeated> as a charity , we rely on creating the ability to give . the work we do on social media , the web and in print <url> <hashtag> supported living </hashtag> <hashtag> learning disabilities </hashtag> <hashtag> inclusion </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> autism love </hashtag>"
64,1455098743104147456,"""Neurodiversity in its current form is simply unsustainable"" https://t.co/o0TOMvieEI Another viewpoint from an autistic adult.",""" neurodiversity in its current form is simply unsustainable "" <url> another viewpoint from an autistic adult ."
67,1455097419276881921,"📢 New Neurodiversity Training tomorrow! 📢

🕘 From 9am to 1pm

An explanation of neurodiversity and the role of executive functions, particularly related to hoarding disorders, chronic disorganisation and extreme clutter: https://t.co/AYXal9JtBh

#hoardinghelp #neurodiverse https://t.co/VJfjJi2V9n","📢 new neurodiversity training tomorrow ! 📢 🕘 from <time> to <time> an explanation of neurodiversity and the role of executive functions , particularly related to hoarding disorders , chronic disorganisation and extreme clutter : <url> <hashtag> hoarding help </hashtag> <hashtag> neuro diverse </hashtag> <url>"
68,1455095037730164747,"Tonight is our Neurodiversity / Mental Health / Disability night, 18:30 - 21:00 #theswitchboard #ASD #ASC #Neurodiversity #MentalHealthMatters #EndTheStigma #Disability #support https://t.co/lB0JdfKLDk","tonight is our neurodiversity / mental health / disability night , <time> - <time> <hashtag> the switchboard </hashtag> <hashtag> asd </hashtag> <hashtag> asc </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> mental health matters </hashtag> <hashtag> end the stigma </hashtag> <hashtag> disability </hashtag> <hashtag> support </hashtag> <url>"
70,1455093110267121669,Neurodiversity in technology: Are businesses missing out on key talent? by @gildeatracie https://t.co/HUPILKkH1r via @techcrunch cc @enilev @SusanFourtane @TheAdityaPatro @RLDI_Lamy @jeancayeux @IanLJones98 @BetaMoroney @WhiteheartVic @Shi4Tech @Sharleneisenia @bimedotcom,neurodiversity in technology : are businesses missing out on key talent ? by <user> <url> via <user> cc <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user>
74,1455090575745634306,"Tonight is our Neurodiversity / Mental Health / Disability night, 18:30 - 21:00 #theswitchboard #ASD #ASC #Neurodiversity #MentalHealthMatters #EndTheStigma #Disability #support https://t.co/IcXiva0fb1","tonight is our neurodiversity / mental health / disability night , <time> - <time> <hashtag> the switchboard </hashtag> <hashtag> asd </hashtag> <hashtag> asc </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> mental health matters </hashtag> <hashtag> end the stigma </hashtag> <hashtag> disability </hashtag> <hashtag> support </hashtag> <url>"
75,1455088302659416065,Tap into talent: Ending the underrepresentation of neurodiversity in the workplace https://t.co/gfQS4f497H,tap into talent : ending the underrepresentation of neurodiversity in the workplace <url>
76,1455087218716983299,"If ‘cognitive diversity’ is a management aim, neurodiversity has to play a role. | #HR https://t.co/TrTS9Ak9rg","if ‘ cognitive diversity ’ is a management aim , neurodiversity has to play a role . | <hashtag> hr </hashtag> <url>"
77,1455086175492923393,Neurodiversity in Beer - late tonight in the U.K. https://t.co/Uu4vMvYcCq,neurodiversity in beer - late tonight in the u.k. <url>
78,1455086090176634881,"@ratt2utbildng Jo. Och default-förväntningar:
""People (and institutions) still largely take the default person as being an abled, straight, neurotypical, comfortably-off, educated white cis man, and despite the fact most people don’t fit in that box.""
https://t.co/hQsY5s1dyU","<user> jo . och default - förväntningar : "" people ( and institutions ) still largely take the default person as being an abled , straight , neurotypical , comfortably - off , educated white cis man , and despite the fact most people don ’ t fit in that box . "" <url>"
83,1455083221851545601,🙌 shame not all classrooms adopt this kind of approach #Neurodivergent #neurodiversity #Inclusion #inclusivity #InclusionAndDiversity #Diversity #edutwitter https://t.co/reqb3lOmR6,🙌 shame not all classrooms adopt this kind of approach <hashtag> neurodivergent </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> inclusion </hashtag> <hashtag> inclusivity </hashtag> <hashtag> inclusion and diversity </hashtag> <hashtag> diversity </hashtag> <hashtag> edu twitter </hashtag> <url>
84,1455082996743254019,Coming soon… #neurodiversity in #business https://t.co/1NizZXlEwl,coming soon … <hashtag> neurodiversity </hashtag> in <hashtag> business </hashtag> <url>
85,1455082469686919172,"The greatest asset of a company is its people

Learn more on how you can improve and automate your recruitment:
https://t.co/Kf5emLWjwu

#X0PA #X0PAAI #recruitmentai #neurodiversity #hr https://t.co/mvR8JD69KM",the greatest asset of a company is its people learn more on how you can improve and automate your recruitment : <url> <hashtag> x 0 pa </hashtag> <hashtag> x 0 paai </hashtag> <hashtag> recruitment ai </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> hr </hashtag> <url>
86,1455082173359280131,"A Radical Guide for Women with ADHD: Embrace Neurodiversity, Live Boldy, and Break Through Barriers Mobi Download &gt;&gt; https://t.co/RQlznY6Qwu https://t.co/IYk7Fzc6Uq","a radical guide for women with <allcaps> adhd </allcaps> : embrace neurodiversity , live boldy , and break through barriers mobi download > > <url> <url>"
88,1455081657405431819,@gugge33 @Keirwales @LiluWheeler Some of the established literature for parents is a bit outdated because our understanding of neurodiversity &amp; autism is rightfully improving. Consider following the 'autism discussion page' on Facebook as a starting point.,<user> <user> <user> some of the established literature for parents is a bit outdated because our understanding of neurodiversity & autism is rightfully improving . consider following the ' autism discussion page ' on facebook as a starting point .
89,1455079866345435136,"The fact that people have to be told that 'Neurodiversity' is a thing, is comparable to them needing to be told that sleep is good for them. It's no different for Behavioural Characteristics, its nothing new. They are illustrated in ancient writings from all corners of the world https://t.co/dsCe0mbRpS","the fact that people have to be told that ' neurodiversity ' is a thing , is comparable to them needing to be told that sleep is good for them . it ' s no different for behavioural characteristics , its nothing new . they are illustrated in ancient writings from all corners of the world <url>"
93,1455076226331185152,"@RichardKSense @BBCNews Absolutely agree @BBCNews this why in the insurance sector we established @GainAutism, GAIN the Group for Autism, Insurance &amp; Neurodiversity https://t.co/GtqNEIPdRM as a hub to support neurodivergent people #Access  &amp; progress our sector + have the careers that they want to have.","<user> <user> absolutely agree <user> this why in the insurance sector we established <user> , <allcaps> gain </allcaps> the group for autism , insurance & neurodiversity <url> as a hub to support neurodivergent people <hashtag> access </hashtag> & progress our sector + have the careers that they want to have ."
95,1455074205733642243,"I hope who ever reads this not only enjoys it, but can learn more about neurodiversity, and how someone can be struggling so much even when they seem perfectly fine and in high spirits. Always be patient with others. You never know how people process life.","i hope who ever reads this not only enjoys it , but can learn more about neurodiversity , and how someone can be struggling so much even when they seem perfectly fine and in high spirits . always be patient with others . you never know how people process life ."
97,1455068735509827584,"Gardening for Wellbeing | Our Bumper Crop of Tips to Get the Most from the Outdoors

For many people, their gardens are an important part of their home, and more recently they https://t.co/udzbtvOfFa #supportedliving #learningdisabilities #inclusion #neurodiversity #autismlove","gardening for wellbeing | our bumper crop of tips to get the most from the outdoors for many people , their gardens are an important part of their home , and more recently they <url> <hashtag> supported living </hashtag> <hashtag> learning disabilities </hashtag> <hashtag> inclusion </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> autism love </hashtag>"
100,1455055762519207939,"Check out this great share from last year about #NeurodiversityAwareness 

https://t.co/y8XQld1Hyz

@RoyLilley @WeLDnurses",check out this great share from last year about <hashtag> neurodiversity awareness </hashtag> <url> <user> <user>
102,1455052735162712064,Neurodiversity - tips for toileting and personal care #dcd #adhd #cp #asc #inclusion https://t.co/YXEl3XEP2J,neurodiversity - tips for toileting and personal care <hashtag> dcd </hashtag> <hashtag> adhd </hashtag> <hashtag> cp </hashtag> <hashtag> asc </hashtag> <hashtag> inclusion </hashtag> <url>
104,1455043171755470857,"It's no longer #ADHDAwarenessMonth but you'll have to prise Meme-Monday from our cold, lifeless hands.

We've probably done this one before but we like it.

#adhdtwitter #Neurodiversity #askadhduk #adultadhd https://t.co/oyWDaDUrFL","it ' s no longer <hashtag> adhd awareness month </hashtag> but you will have to prise meme - monday from our cold , lifeless hands . we have probably done this one before but we like it . <hashtag> adhd twitter </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> ask adhd uk </hashtag> <hashtag> adult adhd </hashtag> <url>"
106,1455039599718408192,Dr. Bill Wong is Fighting On as an Autistic Adult https://t.co/aszHS3pGOu #anxiety #sensoryfriendly #neurodiversity #sensoryoverload #parenting #healthcare #autism,dr . bill wong is fighting on as an autistic adult <url> <hashtag> anxiety </hashtag> <hashtag> sensory friendly </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> sensory overload </hashtag> <hashtag> parenting </hashtag> <hashtag> healthcare </hashtag> <hashtag> autism </hashtag>
107,1455039444621266951,"Dreamt about Oprah again, this time she was seriously not just a dream state but felt like I was in her presence. #oprah #neurodiversity #spiritual #destiny","dreamt about oprah again , this time she was seriously not just a dream state but felt like i was in her presence . <hashtag> oprah </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> spiritual </hashtag> <hashtag> destiny </hashtag>"
109,1455035854179770371,"@quinnHPM questionably aged neurodiversity rep aside, cube fucks incredibly hard","<user> questionably aged neurodiversity rep aside , cube fucks incredibly hard"
111,1455023008192647171,Why do so few companies understand neurodiversity? https://t.co/dxYn9LKh8m,why do so few companies understand neurodiversity ? <url>
116,1455202974775476225,"🌟Shout out to Meadowside Primary School in Northamptonshire for registering to take part in Neurodiversity Celebration Week 2022🌟

#NeurodiversityCelebrationWeek
#NeurodiversityWeek

@Meadowside_Pri https://t.co/f7bnySJFMu",🌟 shout out to meadowside primary school in northamptonshire for registering to take part in neurodiversity celebration week <number> 🌟 <hashtag> neurodiversity celebration week </hashtag> <hashtag> neurodiversity week </hashtag> <user> <url>
117,1455201955698155522,"Our 1st Diversity of Thought Network meeting was a walking one because walking helps with creativity, open conversations &amp; mental health. Our first steps towards enhancing Neurodiversity awareness &amp; encouraging diversity of thought @Tyne_Wear_FRS @sijohnson4030 #Beyou https://t.co/PGbRHyStWl","our 1 st diversity of thought network meeting was a walking one because walking helps with creativity , open conversations & mental health . our first steps towards enhancing neurodiversity awareness & encouraging diversity of thought <user> <user> <hashtag> beyou </hashtag> <url>"
118,1455201789268004866,"A while ago I read a book where the main character had #dyspraxia and I was so excited to see a story with an MC that had the same neurodiversity as me. The first thing the character did was walk into a locker and fall on the floor in crazy, slap-stick fashion. 1/","a while ago i read a book where the main character had <hashtag> dyspraxia </hashtag> and i was so excited to see a story with an mc that had the same neurodiversity as me . the first thing the character did was walk into a locker and fall on the floor in crazy , slap - stick fashion . <number> /"
119,1455201718808072194,"What do you know about neurodiversity? 
Find out more at https://t.co/Sh0d6EbNDB.",what do you know about neurodiversity ? find out more at <url>
122,1455199828376526856,@Forward0000 @OrdersofM I have learned to love neurodiversity---one of the charms of life.,<user> <user> i have learned to love neurodiversity - - - one of the charms of life .
123,1455199796755636234,"Great to spend the morning with Kate &amp; the team @abblanchschool talking about #neurodiversity &amp; #ASC. Amazing ethos &amp; staff supporting young people in #education Well done everyone, thank you for your time, openness, &amp; engagement https://t.co/2Xd8RpR3Bi","great to spend the morning with kate & the team <user> talking about <hashtag> neurodiversity </hashtag> & <hashtag> asc </hashtag> . amazing ethos & staff supporting young people in <hashtag> education </hashtag> well done everyone , thank you for your time , openness , & engagement <url>"
129,1455195425481248774,Neurodiversity in technology: Are businesses missing out on key talent? – TechCrunch https://t.co/u8IzLE120T,neurodiversity in technology : are businesses missing out on key talent ? – techcrunch <url>
130,1455194728232796169,"Happy November! Want to #WriteforUs? 

Read our November wiring prompt &amp; submission guidelines: https://t.co/mCP00Fm2RV

#WriteForUs #SubmissionGuidelines #CallForSubmissions #Writers #MediumWriters #WritingCommunity #WritersSupportingWriters #WritersLift #Neurodiversity",happy november ! want to <hashtag> writefor us </hashtag> ? read our november wiring prompt & submission guidelines : <url> <hashtag> write for us </hashtag> <hashtag> submission guidelines </hashtag> <hashtag> call for submissions </hashtag> <hashtag> writers </hashtag> <hashtag> medium writers </hashtag> <hashtag> writing community </hashtag> <hashtag> writers supporting writers </hashtag> <hashtag> writers lift </hashtag> <hashtag> neurodiversity </hashtag>
135,1455192699158544396,"As part of Neurodiversity Week,  in the Girls’ Junior School we have been discussing how our brains are all wired differently. We’ve been looking at the different parts of the brain by making them out of cardboard! https://t.co/9SF5dKDSK8","as part of neurodiversity week , in the girls ’ junior school we have been discussing how our brains are all wired differently . we ’ ve been looking at the different parts of the brain by making them out of cardboard ! <url>"
137,1455190978499948549,"Pupille / Aquarell
#art #abstractpainting #neuroart #neurodiversity #JoyOfLife #joyfulart #daretodiffer #Aquarell https://t.co/Oku7V4UE29",pupille / aquarell <hashtag> art </hashtag> <hashtag> abstract painting </hashtag> <hashtag> neuro art </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> joy of life </hashtag> <hashtag> joyful art </hashtag> <hashtag> dare to differ </hashtag> <hashtag> aquarell </hashtag> <url>
138,1455190215367217160,"🌟Shout out to Meadowside Primary School in Northamptonshire for registering to take part in Neurodiversity Celebration Week 2022🌟

#NeurodiversityCelebrationWeek
#NeurodiversityWeek

@Meadowside_Pri https://t.co/OUyJ4BuSdJ",🌟 shout out to meadowside primary school in northamptonshire for registering to take part in neurodiversity celebration week <number> 🌟 <hashtag> neurodiversity celebration week </hashtag> <hashtag> neurodiversity week </hashtag> <user> <url>
139,1455189727829798914,"The #neurodiversity movement attests that autism is a difference, not a disorder — but some autistic people feel differently. @Quillette https://t.co/u3Sb9dC77J","the <hashtag> neurodiversity </hashtag> movement attests that autism is a difference , not a disorder — but some autistic people feel differently . <user> <url>"
143,1455188688233799681,A great post by Katrin Suetterlin for @uxmag about making products more accessible for neurodiverse users: https://t.co/5UoKXEESWA,a great post by katrin suetterlin for <user> about making products more accessible for neurodiverse users : <url>
144,1455188237308289024,"Designing with neurodiversity in mind builds healthier and efficient workplaces for all. In this Work Design Magazine feature, #DIRTT shares three key design elements that can enhance workspace conditions to make them more inclusive and welcoming: https://t.co/mzrn7oErpm https://t.co/Q1DKY814Vg","designing with neurodiversity in mind builds healthier and efficient workplaces for all . in this work design magazine feature , <hashtag> dirtt </hashtag> shares three key design elements that can enhance workspace conditions to make them more inclusive and welcoming : <url> <url>"
145,1455188094144155660,"Viewpoint: Advocacy or orthodoxy? How the neurodiversity movement that has sought to normalize autism is changing, and not always for the best https://t.co/s3L1ejS83x via @GeneticLiteracy","viewpoint : advocacy or orthodoxy ? how the neurodiversity movement that has sought to normalize autism is changing , and not always for the best <url> via <user>"
146,1455187888950296583,Tonight is our mental health night. Give us a call. Our line is open tonight from 6:30-9PM #lgbt #lgbtq #mentalhealth #disabilty #neurodiversity,tonight is our mental health night . give us a call . our line is open tonight from <time> - <time> <hashtag> lgbt </hashtag> <hashtag> lgbtq </hashtag> <hashtag> mental health </hashtag> <hashtag> disabilty </hashtag> <hashtag> neurodiversity </hashtag>
147,1455187881274847232,"Join us for Open Book - Sarah Kaplit at 10:00 on Wed. 11/3! 

Sarah is the WA State Book Award winning author of two novels for middle grade readers. She has a longstanding involvement in the disability rights and neurodiversity movements. 

To register: https://t.co/lFU0BR7fKI https://t.co/01drWG0xI8",join us for open book - sarah kaplit at <time> on wed . <number> / <number> ! sarah is the wa state book award winning author of two novels for middle grade readers . she has a longstanding involvement in the disability rights and neurodiversity movements . to register : <url> <url>
148,1455187812446265344,"The FIRST EVER conference for gifted and twice exceptional adults starts TODAY!

Register FREE: 👉 https://t.co/Q9m3AZ6eKx 

#TheGWord #gifted #twiceexceptional #2e #neurodiversity https://t.co/SLCHAMyX8o",the <allcaps> first ever </allcaps> conference for gifted and twice exceptional adults starts <allcaps> today </allcaps> ! register <allcaps> free </allcaps> : 👉 <url> <hashtag> the g word </hashtag> <hashtag> gifted </hashtag> <hashtag> twice exceptional </hashtag> <hashtag> 2 e </hashtag> <hashtag> neurodiversity </hashtag> <url>
