,tweet_id,text,tokenized_text
37,1278269382079078405,Different experiences + different perspectives = better decision making - the neurodiversity HR equation https://t.co/sYx9zxDy2e via @diginomica https://t.co/TPgjNj9a3r,different experiences + different perspectives = better decision making - the neurodiversity hr equation <url> via <user> <url>
42,1278265879159955456,"I’m still not sure what masking is. 

Is masking the behaviors, thoughts, &amp; rituals we develop to hide our neurodiversity?

#AskingADHD","i ’ m still not sure what masking is . is masking the behaviors , thoughts , & rituals we develop to hide our neurodiversity ? <hashtag> asking adhd </hashtag>"
43,1278265299570024448,"Tomorrow is the International Disorders of the Corpus Callosum Day! 

So, tonight please take 2mins to meet Karina. She's 5yo and has isolated agenesis of the corpus callosum. 

#ACC @AusdoccInc #prenataldiagnosis #congenitalanomaly #Neurodiversity #Neurodivergent #corpuscallosum https://t.co/YLtywrMqQf","tomorrow is the international disorders of the corpus callosum day ! so , tonight please take 2 mins to meet karina . she ' s 5 yo and has isolated agenesis of the corpus callosum . <hashtag> acc </hashtag> <user> <hashtag> prenatal diagnosis </hashtag> <hashtag> congenital anomaly </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> neurodivergent </hashtag> <hashtag> corpus callosum </hashtag> <url>"
44,1278264727123173377,"Been doing #zoom  #mockinterviews this week for our #autismproject students, they have all been brilliant. They have all come prepared &amp; would be an asset to any company that employs them #interviewskills #Autism #supportedinternship #Neurodiversity #inclusiveworkplace #Careers https://t.co/J4tulQmR6H","been doing <hashtag> zoom </hashtag> <hashtag> mock interviews </hashtag> this week for our <hashtag> autism project </hashtag> students , they have all been brilliant . they have all come prepared & would be an asset to any company that employs them <hashtag> interview skills </hashtag> <hashtag> autism </hashtag> <hashtag> supported internship </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> inclusive workplace </hashtag> <hashtag> careers </hashtag> <url>"
45,1278261254801567747,Lunchtime today (12pm) on @scottishautism Facebook. REALLY useful for anyone supporting Autistic and disabled people to be independent. Watch live to ask questions but the video will be on FB after if you miss it #Autism #ASD #Neurodiversity ☂️ https://t.co/dgHQ0Lo5DD,lunchtime today ( <time> ) on <user> facebook . <allcaps> really </allcaps> useful for anyone supporting autistic and disabled people to be independent . watch live to ask questions but the video will be on fb after if you miss it <hashtag> autism </hashtag> <hashtag> asd </hashtag> <hashtag> neurodiversity </hashtag> ☂️ <url>
47,1278260540691939329,"@BBCGetIn @conorsw11films @Autism @MrNickRansom So good that the BBC is recognising neurodiversity! Important work to be done, far too little public exposure is given to the concept at the moment","<user> <user> <user> <user> so good that the <allcaps> bbc </allcaps> is recognising neurodiversity ! important work to be done , far too little public exposure is given to the concept at the moment"
48,1278258386602274821,@RainsT46 @KTDR3W I actually looked into the state recently because I’m publishing a book on Neurodiversity &amp; it is overwhelmingly identity first preference for Autistic people where it has been surveyed. Parents/siblings/family tend to prefer person first when it’s them completing the survey 1/n,<user> <user> i actually looked into the state recently because i ’ m publishing a book on neurodiversity & it is overwhelmingly identity first preference for autistic people where it has been surveyed . parents / siblings / family tend to prefer person first when it ’ s them completing the survey <number> / n
49,1278257464505323521,"This one gives a voice to all the people that are fighting both #racism and support for thier #ADHD 
Jessica interviews 13 #black people of #neurodiversity from around the world. https://t.co/2fDmGvhwpP",this one gives a voice to all the people that are fighting both <hashtag> racism </hashtag> and support for thier <hashtag> adhd </hashtag> jessica interviews <number> <hashtag> black </hashtag> people of <hashtag> neurodiversity </hashtag> from around the world . <url>
51,1278254341397385216,What is the #NeurodiversityHub? Learn all about it in our latest #interview with #AndrewEddy! #Neurodiversity https://t.co/I1Nr8PquYW https://t.co/RLro5lj5ZC,what is the <hashtag> neurodiversity hub </hashtag> ? learn all about it in our latest <hashtag> interview </hashtag> with <hashtag> andrew eddy </hashtag> ! <hashtag> neurodiversity </hashtag> <url> <url>
52,1278250928437690368,@WeLDnurses @NDNursesUK We'll be inviting @theRCN members with lived and/or professional experience of #Neurodiversity to contribute to this work. But we of course welcome wider collaboration on this important #nursing issue. I know @RCN_inclusion also has plans.,<user> <user> we will be inviting <user> members with lived and / or professional experience of <hashtag> neurodiversity </hashtag> to contribute to this work . but we of course welcome wider collaboration on this important <hashtag> nursing </hashtag> issue . i know <user> also has plans .
55,1278246950048071680,@profamandakirby @AdCabJ @ADHDFoundation @adhdireland @ADDNI1 @SwanseaCarers @PCamhs @adhdconnections I would like to use in a presentation on Neurodiversity for AVM trainees. Is that ok? What I should credit source as?,<user> <user> <user> <user> <user> <user> <user> <user> i would like to use in a presentation on neurodiversity for <allcaps> avm </allcaps> trainees . is that ok ? what i should credit source as ?
57,1278245594776178688,"@Skatebutch ""mom says its my turn on the neurodiversity""","<user> "" mom says its my turn on the neurodiversity """
58,1278243736758018049,"I am visually impaired. I am also #autistic. I want a world where accommodating my #neurodiversity is as stigma-free as accommodating my 20/20 vision, so I'm riding 50km next week &amp; asking for donations to @AutismSpectAust via: https://t.co/6fhBP98j9f #autism #asd #Neurodivergent","i am visually impaired . i am also <hashtag> autistic </hashtag> . i want a world where accommodating my <hashtag> neurodiversity </hashtag> is as stigma - free as accommodating my <number> / <number> vision , so i am riding 5 0 km next week & asking for donations to <user> via : <url> <hashtag> autism </hashtag> <hashtag> asd </hashtag> <hashtag> neurodivergent </hashtag>"
59,1278242068352176128,"@vpateltheatre @Rachaelraymck @GateTheatre @artsadm Brilliant thankyou for actioning this.
 I will fill this in and share loads. there is a huge amount of change that needs to happen in the arts with neurodiversity. So relieved that here its being recognised. X",<user> <user> <user> <user> brilliant thankyou for actioning this . i will fill this in and share loads . there is a huge amount of change that needs to happen in the arts with neurodiversity . so relieved that here its being recognised . x
61,1278241342783664130,"@SpecialistsIRE don't just focus on preparing candidates for employment, we focus on providing ongoing support through regular check-in's with working candidates as needed, to help them maintain meaningful employment. #team #specialist #recruitment #neurodiversity #euinmyregion https://t.co/OjLnXQY36E","<user> do not just focus on preparing candidates for employment , we focus on providing ongoing support through regular check - in ' s with working candidates as needed , to help them maintain meaningful employment . <hashtag> team </hashtag> <hashtag> specialist </hashtag> <hashtag> recruitment </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> eu in my region </hashtag> <url>"
62,1278239436434821120,This virtual conference will enable employers to learn about neurodiversity in the workplace and be able to apply that learning in a practical way. Make sure to book here: https://t.co/2fn1iVDYaX https://t.co/ed8uxwwlXd,this virtual conference will enable employers to learn about neurodiversity in the workplace and be able to apply that learning in a practical way . make sure to book here : <url> <url>
63,1278237089901842435,"Autism Is an Identity, Not a Disease: Inside the Neurodiversity Movement

Activists argue that rather than trying to ‘cure’ the neurodivergent, society should learn to appreciate and accommodate their needs 

by Katherine Reynolds Lewis in @elemental 

https://t.co/ctss12NNkI","autism is an identity , not a disease : inside the neurodiversity movement activists argue that rather than trying to ‘ cure ’ the neurodivergent , society should learn to appreciate and accommodate their needs by katherine reynolds lewis in <user> <url>"
64,1278236400966459392,"In case you wondered why Neurodiversity is important to me, and what I hope we can achieve, this article explains it https://t.co/96h5P29EGd","in case you wondered why neurodiversity is important to me , and what i hope we can achieve , this article explains it <url>"
68,1278234860298043394,"Such joy to hear people advocate for physical and #mentalhealth and  educate about #neurodiversity, in work life. What can you change, as a manager, to make your team more inclusive? @_francied tells us how she ""[...] brings great things to the table"" despite chronic illness. https://t.co/waHIRGyo2T","such joy to hear people advocate for physical and <hashtag> mental health </hashtag> and educate about <hashtag> neurodiversity </hashtag> , in work life . what can you change , as a manager , to make your team more inclusive ? <user> tells us how she "" [ . <repeated> ] brings great things to the table "" despite chronic illness . <url>"
71,1278232631432425472,Autistic People Often Don’t Realize We’ve Deeply Hurt a Neurotypical Person’s Feelings (The Library Story): https://t.co/ja6TXh9RBe #autistic #autism #neurodivergent #neurodiversity Please RT https://t.co/AN65uufne2,autistic people often don ’ t realize we ’ ve deeply hurt a neurotypical person ’ s feelings ( the library story ) : <url> <hashtag> autistic </hashtag> <hashtag> autism </hashtag> <hashtag> neuro divergent </hashtag> <hashtag> neurodiversity </hashtag> please rt <url>
74,1278230025402286080,"Excited and slightly sad to be giving my last presentation at a #UoRIoEPGRConference today. Time to finish that thesis!

'Missing: autistic girls absent from mainstream secondary schools'

#autism
#education
#inclusion 
#exclusion
#absence
#neurodiversity

@UniRdg_IoE",excited and slightly sad to be giving my last presentation at a <hashtag> uo r io epgr conference </hashtag> today . time to finish that thesis ! ' missing : autistic girls absent from mainstream secondary schools ' <hashtag> autism </hashtag> <hashtag> education </hashtag> <hashtag> inclusion </hashtag> <hashtag> exclusion </hashtag> <hashtag> absence </hashtag> <hashtag> neurodiversity </hashtag> <user>
77,1278228689839325184,"I’ve been busy on my sewing machine making sensory tools and fidgets for adults to help with Stress, Anxiety &amp; ADHD. Can you help spread the word? Follow me @SensoryFox ✨🦊✨#mentalhealth #MentalHealthMatters #adhd #neurodiversity #calm  #Mindfulness #Anxiety #Selfcare #startup","i ’ ve been busy on my sewing machine making sensory tools and fidgets for adults to help with stress , anxiety & <allcaps> adhd </allcaps> . can you help spread the word ? follow me <user> ✨ 🦊 ✨ <hashtag> mental health </hashtag> <hashtag> mental health matters </hashtag> <hashtag> adhd </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> calm </hashtag> <hashtag> mindfulness </hashtag> <hashtag> anxiety </hashtag> <hashtag> selfcare </hashtag> <hashtag> startup </hashtag>"
78,1278226631304282112,@MEllisPhotograp Idk. Just a common question I noticed. Having a license doesn't make you a safe driver to yourself or others regardless of neurodiversity. Some people may not be able to handle busy roads. Some may have gotten one and realized later on that maybe they shouldn't.,<user> idk . just a common question i noticed . having a license does not make you a safe driver to yourself or others regardless of neurodiversity . some people may not be able to handle busy roads . some may have gotten one and realized later on that maybe they should not .
82,1278223192767836161,"Post-Covid #workspace design must enhance #wellbeing for everyone. 

Great article featuring Nook from @PropertyWeek exploring how essential it is that #neurodiversity is accommodated and valued in the #workplace going forward. 

https://t.co/aR7knEeffy #neurodiverse #inclusion",post - covid <hashtag> workspace </hashtag> design must enhance <hashtag> well being </hashtag> for everyone . great article featuring nook from <user> exploring how essential it is that <hashtag> neurodiversity </hashtag> is accommodated and valued in the <hashtag> workplace </hashtag> going forward . <url> <hashtag> neuro diverse </hashtag> <hashtag> inclusion </hashtag>
85,1278221282031493120,"A prescription app for kids with ADHD is the same reason why we believe Apps can change the world and why programs like our @pr0foundinc is so important. 

#apps #Entrepreneurship #Neurodiversity https://t.co/JDBIs0aELt",a prescription app for kids with <allcaps> adhd </allcaps> is the same reason why we believe apps can change the world and why programs like our <user> is so important . <hashtag> apps </hashtag> <hashtag> entrepreneurship </hashtag> <hashtag> neurodiversity </hashtag> <url>
86,1278220593763155970,"Film by an #actuallyautistic #Autism through our eyes #AutismAwareness in women ♾💚💙💛💜❤
#Neurodiversity #acceptance #InclusionRevolution #inclusionmatters  #DiversityIsOurStrength https://t.co/S0v6LIEaIT",film by an <hashtag> actually autistic </hashtag> <hashtag> autism </hashtag> through our eyes <hashtag> autism awareness </hashtag> in women ♾ 💚 💙 💛 💜 ❤ <hashtag> neurodiversity </hashtag> <hashtag> acceptance </hashtag> <hashtag> inclusion revolution </hashtag> <hashtag> inclusion matters </hashtag> <hashtag> diversity is our strength </hashtag> <url>
87,1278217208712302592,"@mgarrah7 @PhilVincent @TeachChris2020 @RosieFean @MicrosoftTeams Plus: if green means available then by extension- if one is to have focus time, they must spend hours booking up own calendar as a safeguard against ppl w no manners? Nono. Unless such shortcut agreed on individual basis, respect ppls workspace-time &amp; neurodiversity.","<user> <user> <user> <user> <user> plus : if green means available then by extension - if one is to have focus time , they must spend hours booking up own calendar as a safeguard against ppl w no manners ? nono . unless such shortcut agreed on individual basis , respect ppls workspace - time & neurodiversity ."
90,1278213515493466112,"@autisticlyaaron Might NeuroRight get confused with or give fuel to those Alt Right anti neurodiversity types? Especially if being used in the context of politics? Maybe NeuroRights would be better. 

It is something that needs to be campaigned for to be sure.",<user> might neuroright get confused with or give fuel to those alt right anti neurodiversity types ? especially if being used in the context of politics ? maybe neurorights would be better . it is something that needs to be campaigned for to be sure .
92,1278212283550904320,"Autism Is an Identity, Not a Disease: Inside the Neurodiversity Movement | #schoolshooting https://t.co/XiQskdvXbW","autism is an identity , not a disease : inside the neurodiversity movement | <hashtag> school shooting </hashtag> <url>"
94,1278211219187531781,@SNeurotypicals @JMB_NL @AutiLeven This results in poor policy provision and inadequate local authority funding. Which in my view validates the need for a neurodiversity movement to campaign for better representation. 3/3,<user> <user> <user> this results in poor policy provision and inadequate local authority funding . which in my view validates the need for a neurodiversity movement to campaign for better representation . <number> / <number>
96,1278208830610960384,"""Activists argue that rather than trying to ‘cure’ or treat the neurodivergent, society should learn to accept, appreciate, and accommodate their needs"" #AutismAwareness #AutismAndCovid19 https://t.co/HYnRYmuab9",""" activists argue that rather than trying to ‘ cure ’ or treat the neurodivergent , society should learn to accept , appreciate , and accommodate their needs "" <hashtag> autism awareness </hashtag> <hashtag> autism and covid 19 </hashtag> <url>"
98,1278206058968674304,@WoollyWormhead @gracemtherese I hope you know I look at mental health and neurodiversity as absolutely real. Stress from change is a real. Too much cortisol in the blood stream from stress is real - yikes I didn’t mean to sound dismissive of that! I’m sorry if I did!,<user> <user> i hope you know i look at mental health and neurodiversity as absolutely real . stress from change is a real . too much cortisol in the blood stream from stress is real - yikes i didn ’ t mean to sound dismissive of that ! i ’ m sorry if i did !
104,1278186301804605440,"@champagnzee It’s so freeing! It starts to give you language to understand it, and you start to build skills to cope. Neurodiversity is beautiful — we have so much to offer the world with our perspective! But it is tough. Best of luck on your journey!","<user> it ’ s so freeing ! it starts to give you language to understand it , and you start to build skills to cope . neurodiversity is beautiful — we have so much to offer the world with our perspective ! but it is tough . best of luck on your journey !"
106,1278185079311863808,"@SocialPapercut @AutiLeven @SNeurotypicals That is actually a big problem I perceive with the #neurodiversity movement. There is no interest in using/generating valid data. Anecdotes, assumptions, basing claims (like the IFL/PFL discussion) on insufficient and non-representative data, it's all fine with the ND movement.","<user> <user> <user> that is actually a big problem i perceive with the <hashtag> neurodiversity </hashtag> movement . there is no interest in using / generating valid data . anecdotes , assumptions , basing claims ( like the <allcaps> ifl </allcaps> / <allcaps> pfl </allcaps> discussion ) on insufficient and non - representative data , it ' s all fine with the nd movement ."
107,1278181706407780358,Autistic burnout - A guest author offers a different perspective on neurodiversity. Differently Wired https://t.co/3lBbxndKmY,autistic burnout - a guest author offers a different perspective on neurodiversity . differently wired <url>
109,1278167457891483648,"Today, let's be a little more caring and a little more inclusive. We can all help make life brighter for people who spend too much time in the shadows. #Neurodiversity https://t.co/2Rddo3r3Pq","today , let us be a little more caring and a little more inclusive . we can all help make life brighter for people who spend too much time in the shadows . <hashtag> neurodiversity </hashtag> <url>"
123,1278155472390901760,"This my last week's video upload from my #autistic YouTube channel ""Aspie With Attitude"". https://t.co/8yQ9IkKd7F

#autism #Aspergers #AutismAwareness #autismacceptance #Neurodiversity #ASD #hyperfocus","this my last week ' s video upload from my <hashtag> autistic </hashtag> youtube channel "" aspie with attitude "" . <url> <hashtag> autism </hashtag> <hashtag> aspergers </hashtag> <hashtag> autism awareness </hashtag> <hashtag> autism acceptance </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> asd </hashtag> <hashtag> hyper focus </hashtag>"
128,1278327325340418048,"Autism Is an Identity, Not a Disease: Inside the Neurodiversity Movement https://t.co/51oWeNmjLj","autism is an identity , not a disease : inside the neurodiversity movement <url>"
130,1278325967623241729,"5/5

Tags: #homelearning #elearning #onlinelearning #learning #education #neurodiversity #autism",<number> / <number> tags : <hashtag> home learning </hashtag> <hashtag> e learning </hashtag> <hashtag> online learning </hashtag> <hashtag> learning </hashtag> <hashtag> education </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> autism </hashtag>
131,1278325965433815040,"3/5

Neurodiversity is something which has always fascinated me, and when I was fortunate enough to work for the @AutismArts2019 at @UniKent last April, I automatically felt more at home, than anywhere else!","<number> / <number> neurodiversity is something which has always fascinated me , and when i was fortunate enough to work for the <user> at <user> last april , i automatically felt more at home , than anywhere else !"
134,1278325686613225473,"This was probably one of the most thorough pieces of journalism I read about the #neurodiversity movement. And it features some awesome folks like @autistichoya, @JustStimming @johnrobison, @MorenikeGO and more. 

 https://t.co/nXapx8hxLP","this was probably one of the most thorough pieces of journalism i read about the <hashtag> neurodiversity </hashtag> movement . and it features some awesome folks like <user> , <user> <user> , <user> and more . <url>"
135,1278325574012821506,"Autism Is an Identity, Not a Disease: Inside the Neurodiversity Movement by Katherine Reynolds Lewis in @elemental https://t.co/It2id4pCIQ","autism is an identity , not a disease : inside the neurodiversity movement by katherine reynolds lewis in <user> <url>"
138,1278324943776710657,Critiques of the #neurodiversity movement. https://t.co/Q1St3QwvSq #CriticalNeurodiversityStudies #CritTheory #SJS,critiques of the <hashtag> neurodiversity </hashtag> movement . <url> <hashtag> critical neurodiversity studies </hashtag> <hashtag> crit theory </hashtag> <hashtag> sjs </hashtag>
142,1278324482386595840,Neurodiversity in the tech sector - #SAP and #Cloud9 Insight make it all about the individual https://t.co/3VmFuhZO5l #EnSw,neurodiversity in the tech sector - <hashtag> sap </hashtag> and <hashtag> cloud 9 </hashtag> insight make it all about the individual <url> <hashtag> en sw </hashtag>
145,1278323930894393346,Our AMAZING friend @EDVARDOSHADALOW  has wwitten this outstanding piece for @gaytimesmag and supported by @Autism on being autistic and +LGBTQ #AutismAwareness #Neurodiversity #LBGTQ #queerart #acceptance #awareness https://t.co/SFnSd0guOZ,our <allcaps> amazing </allcaps> friend <user> has wwitten this outstanding piece for <user> and supported by <user> on being autistic and + <allcaps> lgbtq </allcaps> <hashtag> autism awareness </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> lbgtq </hashtag> <hashtag> queer art </hashtag> <hashtag> acceptance </hashtag> <hashtag> awareness </hashtag> <url>
147,1278322838248849408,"Woah, I never thought of the consequences of this intersection before: 'ADHD while Black'
#LiftBlackVoices #Neurodiversity
https://t.co/kYI4KzOJKC","woah , i never thought of the consequences of this intersection before : ' <allcaps> adhd </allcaps> while black ' <hashtag> lift black voices </hashtag> <hashtag> neurodiversity </hashtag> <url>"
149,1278322063946723330,"This'll be great. You can pop in &amp; out of a FULL DAY of #dyslexia, #neurodiversity, #paradigm shifting, #educational, #scientific, &amp; #SEN talks, and it's ABSOLUTELY FREE!
I'll be presenting from 1pm BST, for my half-hour slot. 
Saturday, 18th July.
I can't wait to see you there! https://t.co/OzV5nFM9ZX","this ' ll be great . you can pop in & out of a <allcaps> full day </allcaps> of <hashtag> dyslexia </hashtag> , <hashtag> neurodiversity </hashtag> , <hashtag> paradigm </hashtag> shifting , <hashtag> educational </hashtag> , <hashtag> scientific </hashtag> , & <hashtag> sen </hashtag> talks , and it ' s <allcaps> absolutely free </allcaps> ! i will be presenting from <time> <allcaps> bst </allcaps> , for my half - hour slot . saturday , 1 8 th july . i can not wait to see you there ! <url>"
151,1278320348958806023,Happy Canada Day! Stay safe #autism #asd #autismspeaks #autismontario #autismspectrum #beyondthespectrum #BeTheChange  #neurodiversity #endthestigma @autismspeaksCAN @autismONT @autismCanada @geneva_centre @autism @AMHAwareness @Spectrum @ONTSpecialNeeds @ONTABA1 https://t.co/5a7reOCQkJ,happy canada day ! stay safe <hashtag> autism </hashtag> <hashtag> asd </hashtag> <hashtag> autism speaks </hashtag> <hashtag> autism ontario </hashtag> <hashtag> autism spectrum </hashtag> <hashtag> beyond the spectrum </hashtag> <hashtag> be the change </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> end the stigma </hashtag> <user> <user> <user> <user> <user> <user> <user> <user> <user> <url>
154,1278318815722471428,"@anxious_doctor @usycool1 Gotta love neurodiversity, I'm neither right nor wrong (except with forms 😕) but I always seem to unintentionally be the polar opposite to everyone else! i've started to embrace it now, thats why my scrubs are cooler than everyone else and I do substance misuse","<user> <user> gotta love neurodiversity , i am neither right nor wrong ( except with forms 😕 ) but i always seem to unintentionally be the polar opposite to everyone else ! i have started to embrace it now , thats why my scrubs are cooler than everyone else and i do substance misuse"
155,1278318048206872576,I learned so much from @KatherineLewis’s fantastic reporting on neurodiversity in @elemental. Encourage you read or bookmark this feature! #longreads https://t.co/1kNLDPaYMs,i learned so much from <user> ’ s fantastic reporting on neurodiversity in <user> . encourage you read or bookmark this feature ! <hashtag> longreads </hashtag> <url>
157,1278317869852315648,As much as I am proud to be #autistic I am equally proud to be Canadian. Happy Canada Day!🇨🇦 #actuallyautistic #autistic #neurodiversity #neurodiverse #neurodivergent #autism #canada #britishcolumbia #penticton #bc #autisticpride #canadianpride #autisticandproud #canadianandproud https://t.co/CbOWmC9joP,as much as i am proud to be <hashtag> autistic </hashtag> i am equally proud to be canadian . happy canada day ! 🇨 🇦 <hashtag> actually autistic </hashtag> <hashtag> autistic </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> neuro diverse </hashtag> <hashtag> neuro divergent </hashtag> <hashtag> autism </hashtag> <hashtag> canada </hashtag> <hashtag> british columbia </hashtag> <hashtag> penticton </hashtag> <hashtag> bc </hashtag> <hashtag> autistic pride </hashtag> <hashtag> canadian pride </hashtag> <hashtag> autistic and proud </hashtag> <hashtag> canadian and proud </hashtag> <url>
158,1278317865846833152,Neurodivergence: Provoking a New Mind Sight - via @smedian_network #ArtificialIntelligence #Neurodiversity #Neuroscience #Humanity https://t.co/IGV42JBKcy,neurodivergence : provoking a new mind sight - via <user> <hashtag> artificial intelligence </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> neuroscience </hashtag> <hashtag> humanity </hashtag> <url>
166,1278314849722916865,"6/6 The aim is to build a world where neurodiversity is embraced and valued. 

“I want to work hard to make things better for the next generations... So that every generation grows up with more rights and less barriers,” says advocate Haley Outlaw.

https://t.co/7oMjP110ua","<number> / <number> the aim is to build a world where neurodiversity is embraced and valued . “ i want to work hard to make things better for the next generations . <repeated> so that every generation grows up with more rights and less barriers , ” says advocate haley outlaw . <url>"
167,1278314847680245763,"4/ “Disability culture is so full of joy. We dance together; we support each other; we share pictures; we make families together,” says Margaret Price, an @OhioState professor.

https://t.co/7oMjP110ua","<number> / “ disability culture is so full of joy . we dance together ; we support each other ; we share pictures ; we make families together , ” says margaret price , an <user> professor . <url>"
168,1278314845474041857,"2/ “People don’t see disability as an identity; it’s a condition to be cured. No, we do not want a cure for a part of our neurology that’s a part of who we are, just like there’s no cure for Blackness,” says @MorenikeGO, a professor in Houston, Texas 

https://t.co/7oMjP110ua","<number> / “ people don ’ t see disability as an identity ; it ’ s a condition to be cured . no , we do not want a cure for a part of our neurology that ’ s a part of who we are , just like there ’ s no cure for blackness , ” says <user> , a professor in houston , texas <url>"
169,1278314844350042112,"1/ Autistic people don’t need to be “cured” or treated, advocates argue. 

Instead, society should learn to accept, appreciate and accommodate their needs.

@KatherineLewis reports: https://t.co/7oMjP110ua","<number> / autistic people don ’ t need to be “ cured ” or treated , advocates argue . instead , society should learn to accept , appreciate and accommodate their needs . <user> reports : <url>"
